Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position
iveta-abolina-aurele-wave-duvet-covers,Iveta Abolina Aurele Wave Duvet Covers,,DENY Iveta Abolina,Duvet Covers,"Iveta Abolina Aurele Wave Duvet Covers,Deny Designs,at:aurele-wave,ar:iveta-abolina,pc:beige,pc:pink,sc:brown,st:digitalart,th:abstract,co-western-dunes,co:moroccan-rosa,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,King,Product,Bed in a Bag Set,74851-bbckin,167375.448,,0,deny,manual,369.0,369.0,TRUE,TRUE,74851-bbckin,,
iveta-abolina-aurele-wave-duvet-covers,Iveta Abolina Aurele Wave Duvet Covers,,DENY Iveta Abolina,Duvet Covers,"Iveta Abolina Aurele Wave Duvet Covers,Deny Designs,at:aurele-wave,ar:iveta-abolina,pc:beige,pc:pink,sc:brown,st:digitalart,th:abstract,co-western-dunes,co:moroccan-rosa,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Twin,Product,Bed in a Bag Set,74851-bibtwi,99336.648,,0,deny,manual,219.0,219.0,TRUE,TRUE,74851-bibtwi,,
iveta-abolina-aurele-wave-duvet-covers,Iveta Abolina Aurele Wave Duvet Covers,,DENY Iveta Abolina,Duvet Covers,"Iveta Abolina Aurele Wave Duvet Covers,Deny Designs,at:aurele-wave,ar:iveta-abolina,pc:beige,pc:pink,sc:brown,st:digitalart,th:abstract,co-western-dunes,co:moroccan-rosa,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Twin XL,Product,Bed in a Bag Set,74851-bibtxl,103872.568,,0,deny,manual,229.0,229.0,TRUE,TRUE,74851-bibtxl,,
iveta-abolina-aurele-wave-duvet-covers,Iveta Abolina Aurele Wave Duvet Covers,,DENY Iveta Abolina,Duvet Covers,"Iveta Abolina Aurele Wave Duvet Covers,Deny Designs,at:aurele-wave,ar:iveta-abolina,pc:beige,pc:pink,sc:brown,st:digitalart,th:abstract,co-western-dunes,co:moroccan-rosa,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Full,Product,Bed in a Bag Set,74851-bibful,117480.328,,0,deny,manual,259.0,259.0,TRUE,TRUE,74851-bibful,,
iveta-abolina-aurele-wave-duvet-covers,Iveta Abolina Aurele Wave Duvet Covers,,DENY Iveta Abolina,Duvet Covers,"Iveta Abolina Aurele Wave Duvet Covers,Deny Designs,at:aurele-wave,ar:iveta-abolina,pc:beige,pc:pink,sc:brown,st:digitalart,th:abstract,co-western-dunes,co:moroccan-rosa,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Queen,Product,Bed in a Bag Set,74851-bibqun,122016.248,,0,deny,manual,269.0,269.0,TRUE,TRUE,74851-bibqun,,
iveta-abolina-aurele-wave-duvet-covers,Iveta Abolina Aurele Wave Duvet Covers,,DENY Iveta Abolina,Duvet Covers,"Iveta Abolina Aurele Wave Duvet Covers,Deny Designs,at:aurele-wave,ar:iveta-abolina,pc:beige,pc:pink,sc:brown,st:digitalart,th:abstract,co-western-dunes,co:moroccan-rosa,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,King,Product,Bed in a Bag Set,74851-bibkin,135624.008,,0,deny,manual,299.0,299.0,TRUE,TRUE,74851-bibkin,,avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Twin,Product,Duvet Cover Only,73955-dcttwi,81192.968,,0,deny,manual,179.0,179.0,TRUE,TRUE,73955-dcttwi,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-twin-whitebg.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Twin XL,Product,Duvet Cover Only,73955-dctwxl,85728.888,,0,deny,manual,189.0,189.0,TRUE,TRUE,73955-dctwxl,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-twin-lifestyle-side.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Full,Product,Duvet Cover Only,73955-dcfull,90264.808,,0,deny,manual,199.0,199.0,TRUE,TRUE,73955-dcfull,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-twin-lifestyle-front.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Queen,Product,Duvet Cover Only,73955-dctqun,94800.728,,0,deny,manual,209.0,209.0,TRUE,TRUE,73955-dctqun,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-twinxl-whitebg.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,King,Product,Duvet Cover Only,73955-dctkin,112944.408,,0,deny,manual,249.0,249.0,TRUE,TRUE,73955-dctkin,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-twinxl-lifestyle-side.jpg,
